AirTemperature,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
-3.1,0.0, 30.7,2017-01-01 14:45:00, 209.0,59.0,1
-3.1,0.0, 31.7,2017-01-01 15:00:00, 204.0,59.0,1
-3.1,0.0, 33.7,2017-01-01 15:15:00, 203.0,55.0,1
-3.3,0.0, 33.5,2017-01-01 15:30:00, 204.0,58.0,1
-3.2,0.0, 35.4,2017-01-01 15:45:00, 204.0,58.0,1
-3.6,0.0, 27.3,2017-01-01 16:00:00, 210.0,65.0,1
-3.8,0.0, 29.4,2017-01-01 16:15:00, 207.0,61.0,1
-3.9,0.0, 27.7,2017-01-01 16:30:00, 210.0,61.0,1
-4.0,0.0, 27.6,2017-01-01 16:45:00, 217.0,63.0,1
-4.0,0.0, 28.8,2017-01-01 17:00:00, 218.0,58.0,1
-3.8,0.0, 31.3,2017-01-01 17:15:00, 214.0,63.0,1
-3.8,0.0, 32.0,2017-01-01 17:30:00, 218.0,57.0,1
-3.8,0.0, 34.1,2017-01-01 17:45:00, 213.0,57.0,1
-3.8,0.0, 35.6,2017-01-01 18:00:00, 218.0,52.0,1
-4.1,0.0, 29.0,2017-01-01 18:15:00, 226.0,54.0,1
-4.1,0.0, 29.6,2017-01-01 18:30:00, 220.0,54.0,1
-4.1,0.0, 32.1,2017-01-01 18:45:00, 221.0,51.0,1
-4.1,0.0, 32.2,2017-01-01 19:00:00, 216.0,55.0,1
-4.1,0.0, 31.9,2017-01-01 19:15:00, 213.0,53.0,1
-4.1,0.0, 35.6,2017-01-01 19:30:00, 220.0,50.0,1
-4.3,0.0, 36.1,2017-01-01 19:45:00, 216.0,53.0,1
-4.4,0.0, 31.5,2017-01-01 20:00:00, 215.0,53.0,1
-4.5,0.0, 33.4,2017-01-01 20:15:00, 214.0,50.0,1
-4.4,0.0, 34.8,2017-01-01 20:30:00, 218.0,51.0,1
-4.5,0.0, 30.8,2017-01-01 20:45:00, 216.0,48.0,1
-4.5,0.0, 29.4,2017-01-01 21:00:00, 215.0,51.0,1
-4.6,0.0, 32.4,2017-01-01 21:15:00, 220.0,52.0,1
-4.7,0.0, 30.8,2017-01-01 21:30:00, 224.0,51.0,1
-4.8,0.0, 31.4,2017-01-01 21:45:00, 220.0,50.0,1
-4.7,0.0, 34.6,2017-01-01 22:00:00, 217.0,50.0,1
-4.8,0.0, 34.8,2017-01-01 22:15:00, 223.0,50.0,1
-5.1,0.0, 33.0,2017-01-01 22:30:00, 223.0,51.0,1
-5.1,0.0, 30.0,2017-01-01 22:45:00, 225.0,52.0,1
-5.1,0.0, 30.0,2017-01-01 23:00:00, 227.0,50.0,1
-5.1,0.0, 30.3,2017-01-01 23:15:00, 219.0,52.0,1
-5.2,0.0, 30.0,2017-01-01 23:30:00, 218.0,52.0,1
-5.4,0.0, 29.2,2017-01-01 23:45:00, 223.0,50.0,1
-5.3,0.0, 34.0,2017-01-02 00:00:00, 219.0,47.0,1
-5.4,0.0, 25.8,2017-01-02 00:15:00, 228.0,56.0,1
-5.4,0.0, 32.0,2017-01-02 00:30:00, 226.0,49.0,1
-5.6,0.0, 31.5,2017-01-02 00:45:00, 222.0,50.0,1
-5.4,0.0, 35.0,2017-01-02 01:00:00, 223.0,51.0,1
-5.7,0.0, 28.2,2017-01-02 01:15:00, 222.0,51.0,1
-5.6,0.0, 31.5,2017-01-02 01:30:00, 222.0,54.0,1
-5.6,0.0, 31.7,2017-01-02 01:45:00, 220.0,53.0,1
-5.8,0.0, 27.1,2017-01-02 02:00:00, 227.0,53.0,1
-5.8,0.0, 31.7,2017-01-02 02:15:00, 227.0,53.0,1
-5.8,0.0, 27.9,2017-01-02 02:30:00, 226.0,52.0,1
-5.6,0.0, 33.6,2017-01-02 02:45:00, 224.0,53.0,1
-5.9,0.0, 26.1,2017-01-02 03:00:00, 235.0,50.0,1
-5.9,0.0, 27.3,2017-01-02 03:15:00, 230.0,49.0,1
-5.9,0.0, 29.4,2017-01-02 03:30:00, 227.0,50.0,1
-5.9,0.0, 29.6,2017-01-02 03:45:00, 222.0,50.0,1
-5.9,0.0, 27.6,2017-01-02 04:00:00, 227.0,51.0,1
-6.0,0.0, 32.2,2017-01-02 04:15:00, 227.0,50.0,1
-6.0,0.0, 27.0,2017-01-02 04:30:00, 228.0,54.0,1
-6.1,0.0, 27.8,2017-01-02 04:45:00, 227.0,55.0,1
-6.1,0.0, 30.4,2017-01-02 05:00:00, 223.0,52.0,1
-6.0,0.0, 32.8,2017-01-02 05:15:00, 227.0,52.0,1
-6.2,0.0, 30.8,2017-01-02 05:30:00, 230.0,54.0,1
-6.2,0.0, 32.0,2017-01-02 05:45:00, 229.0,51.0,1
-6.1,0.0, 33.0,2017-01-02 06:00:00, 232.0,49.0,1
-6.0,0.0, 35.1,2017-01-02 06:15:00, 229.0,49.0,1
-6.0,0.0, 34.6,2017-01-02 06:30:00, 231.0,53.0,1
-6.0,0.0, 34.0,2017-01-02 06:45:00, 232.0,50.0,1
-6.1,0.0, 33.0,2017-01-02 07:00:00, 232.0,51.0,1
-6.3,0.0, 29.9,2017-01-02 07:15:00, 230.0,51.0,1
-6.3,0.0, 33.4,2017-01-02 07:30:00, 228.0,52.0,1
-6.4,0.0, 30.1,2017-01-02 07:45:00, 235.0,55.0,1
-6.3,0.0, 29.9,2017-01-02 08:00:00, 228.0,52.0,1
-6.5,0.0, 30.6,2017-01-02 08:15:00, 235.0,54.0,1
-6.3,0.0, 30.1,2017-01-02 08:30:00, 228.0,50.0,1
-6.3,0.0, 31.5,2017-01-02 08:45:00, 226.0,53.0,1
-6.1,0.0, 36.0,2017-01-02 09:00:00, 229.0,46.0,1
-5.8,0.0, 33.9,2017-01-02 09:15:00, 234.0,45.0,1
-5.6,0.0, 29.6,2017-01-02 09:30:00, 236.0,46.0,1
-5.4,0.0, 35.3,2017-01-02 09:45:00, 227.0,45.0,1
-5.4,0.0, 32.1,2017-01-02 10:00:00, 230.0,47.0,1
-5.3,0.0, 36.3,2017-01-02 10:15:00, 228.0,44.0,1
-5.1,0.0, 37.8,2017-01-02 10:30:00, 230.0,48.0,1
-5.0,0.0, 34.1,2017-01-02 10:45:00, 236.0,44.0,1
-4.7,0.0, 37.4,2017-01-02 11:00:00, 227.0,43.0,1
-4.6,0.0, 36.4,2017-01-02 11:15:00, 228.0,43.0,1
-4.5,0.0, 35.8,2017-01-02 11:30:00, 225.0,43.0,1
-4.4,0.0, 39.3,2017-01-02 11:45:00, 229.0,43.0,1
-4.3,0.0, 31.9,2017-01-02 12:00:00, 226.0,46.0,1
-4.1,0.0, 31.6,2017-01-02 12:15:00, 234.0,45.0,1
-4.2,0.0, 28.0,2017-01-02 12:30:00, 243.0,49.0,1
-4.1,0.0, 32.1,2017-01-02 12:45:00, 230.0,44.0,1
-4.1,0.0, 32.3,2017-01-02 13:00:00, 235.0,44.0,1
-4.1,0.0, 34.8,2017-01-02 13:15:00, 231.0,44.0,1
-4.1,0.0, 38.1,2017-01-02 13:30:00, 226.0,43.0,1
-4.1,0.0, 31.1,2017-01-02 13:45:00, 237.0,43.0,1
-4.2,0.0, 36.5,2017-01-02 14:00:00, 226.0,45.0,1
-4.2,0.0, 37.1,2017-01-02 14:15:00, 231.0,44.0,1
-4.3,0.0, 32.6,2017-01-02 14:30:00, 237.0,45.0,1
-4.4,0.0, 37.8,2017-01-02 14:45:00, 229.0,45.0,1
-4.4,0.0, 36.3,2017-01-02 15:00:00, 228.0,43.0,1
-5.0,0.0, 31.1,2017-01-02 15:15:00, 237.0,51.0,1
-5.3,0.0, 32.4,2017-01-02 15:30:00, 237.0,48.0,1
-5.6,0.0, 28.3,2017-01-02 15:45:00, 236.0,52.0,1
-5.9,0.0, 28.4,2017-01-02 16:00:00, 237.0,49.0,1
-5.8,0.0, 33.6,2017-01-02 16:15:00, 228.0,51.0,1
-6.0,0.0, 27.7,2017-01-02 16:30:00, 233.0,53.0,1
-6.1,0.0, 29.2,2017-01-02 16:45:00, 229.0,54.0,1
-6.1,0.0, 31.9,2017-01-02 17:00:00, 234.0,52.0,1
-6.0,0.0, 29.9,2017-01-02 17:15:00, 231.0,50.0,1
-6.3,0.0, 25.2,2017-01-02 17:30:00, 236.0,54.0,1
-6.3,0.0, 29.5,2017-01-02 17:45:00, 235.0,52.0,1
-6.3,0.0, 29.2,2017-01-02 18:00:00, 238.0,51.0,1
-6.5,0.0, 26.9,2017-01-02 18:15:00, 240.0,50.0,1
-6.4,0.0, 29.6,2017-01-02 18:30:00, 238.0,54.0,1
-6.6,0.0, 27.0,2017-01-02 18:45:00, 241.0,48.0,1
-6.7,0.0, 31.2,2017-01-02 19:00:00, 234.0,47.0,1
-6.6,0.0, 28.6,2017-01-02 19:15:00, 243.0,52.0,1
-6.7,0.0, 29.8,2017-01-02 19:30:00, 238.0,48.0,1
-6.8,0.0, 28.8,2017-01-02 19:45:00, 238.0,53.0,1
-7.0,0.0, 29.1,2017-01-02 20:00:00, 240.0,50.0,1
-7.1,0.0, 24.6,2017-01-02 20:15:00, 240.0,54.0,1
-7.1,0.0, 30.1,2017-01-02 20:30:00, 230.0,53.0,1
-7.0,0.0, 31.0,2017-01-02 20:45:00, 239.0,51.0,1
-7.1,0.0, 28.3,2017-01-02 21:00:00, 242.0,54.0,1
-7.1,0.0, 26.1,2017-01-02 21:15:00, 242.0,55.0,1
-7.2,0.0, 25.1,2017-01-02 21:30:00, 244.0,49.0,1
-7.1,0.0, 27.2,2017-01-02 21:45:00, 238.0,46.0,1
-7.1,0.0, 29.2,2017-01-02 22:00:00, 237.0,48.0,1
-7.2,0.0, 26.8,2017-01-02 22:15:00, 238.0,51.0,1
-7.3,0.0, 26.5,2017-01-02 22:30:00, 244.0,51.0,1
-7.4,0.0, 28.0,2017-01-02 22:45:00, 238.0,53.0,1
-7.4,0.0, 27.9,2017-01-02 23:00:00, 237.0,52.0,1
-7.4,0.0, 30.2,2017-01-02 23:15:00, 237.0,50.0,1
-7.4,0.0, 30.4,2017-01-02 23:30:00, 232.0,49.0,1
-7.5,0.0, 32.4,2017-01-02 23:45:00, 234.0,50.0,1
-7.5,0.0, 28.5,2017-01-03 00:00:00, 240.0,53.0,1
-7.5,0.0, 30.2,2017-01-03 00:15:00, 234.0,53.0,1
-7.5,0.0, 30.5,2017-01-03 00:30:00, 238.0,52.0,1
-7.6,0.0, 28.4,2017-01-03 00:45:00, 238.0,54.0,1
-7.6,0.0, 30.4,2017-01-03 01:00:00, 236.0,55.0,1
-7.7,0.0, 30.4,2017-01-03 01:15:00, 237.0,52.0,1
-7.5,0.0, 25.7,2017-01-03 01:30:00, 247.0,56.0,1
-7.7,0.0, 28.3,2017-01-03 01:45:00, 238.0,50.0,1
-7.6,0.0, 27.5,2017-01-03 02:00:00, 241.0,50.0,1
-7.9,0.0, 24.4,2017-01-03 02:15:00, 244.0,54.0,1
-7.8,0.0, 23.2,2017-01-03 02:30:00, 244.0,55.0,1
-7.8,0.0, 27.3,2017-01-03 02:45:00, 241.0,49.0,1
-7.9,0.0, 25.6,2017-01-03 03:00:00, 243.0,52.0,1
-7.8,0.0, 27.8,2017-01-03 03:15:00, 241.0,53.0,1
-7.8,0.0, 26.9,2017-01-03 03:30:00, 244.0,49.0,1
-8.0,0.0, 25.2,2017-01-03 03:45:00, 242.0,52.0,1
-8.0,0.0, 26.4,2017-01-03 04:00:00, 238.0,53.0,1
-7.9,0.0, 27.9,2017-01-03 04:15:00, 238.0,52.0,1
-8.0,0.0, 28.4,2017-01-03 04:30:00, 237.0,52.0,1
-7.9,0.0, 28.8,2017-01-03 04:45:00, 240.0,49.0,1
-8.1,0.0, 26.9,2017-01-03 05:00:00, 236.0,54.0,1
-8.1,0.0, 27.7,2017-01-03 05:15:00, 235.0,54.0,1
-8.0,0.0, 31.4,2017-01-03 05:30:00, 236.0,52.0,1
-8.0,0.0, 30.1,2017-01-03 05:45:00, 238.0,51.0,1
-8.0,0.0, 29.0,2017-01-03 06:00:00, 239.0,50.0,1
-8.0,0.0, 27.9,2017-01-03 06:15:00, 237.0,56.0,1
-8.0,0.0, 28.4,2017-01-03 06:30:00, 241.0,54.0,1
-8.2,0.0, 25.4,2017-01-03 06:45:00, 244.0,56.0,1
-7.9,0.0, 29.5,2017-01-03 07:00:00, 241.0,50.0,1
-8.0,0.0, 27.7,2017-01-03 07:15:00, 240.0,53.0,1
-7.9,0.0, 28.2,2017-01-03 07:30:00, 236.0,51.0,1
-7.9,0.0, 28.7,2017-01-03 07:45:00, 242.0,50.0,1
-7.8,0.0, 32.0,2017-01-03 08:00:00, 236.0,47.0,1
-8.0,0.0, 25.3,2017-01-03 08:15:00, 244.0,50.0,1
-7.8,0.0, 29.0,2017-01-03 08:30:00, 241.0,51.0,1
-7.9,0.0, 25.8,2017-01-03 08:45:00, 249.0,52.0,1
-7.7,0.0, 26.4,2017-01-03 09:00:00, 247.0,46.0,1
-7.3,0.0, 23.2,2017-01-03 09:15:00, 251.0,50.0,1
-6.9,0.0, 27.4,2017-01-03 09:30:00, 247.0,45.0,1
-6.7,0.0, 27.6,2017-01-03 09:45:00, 247.0,45.0,1
-6.6,0.0, 29.3,2017-01-03 10:00:00, 245.0,46.0,1
-6.6,0.0, 29.9,2017-01-03 10:15:00, 242.0,44.0,1
-6.1,0.0, 29.4,2017-01-03 10:30:00, 244.0,41.0,1
-6.0,0.0, 33.2,2017-01-03 10:45:00, 245.0,42.0,1
-5.6,0.0, 28.9,2017-01-03 11:00:00, 248.0,44.0,1
-5.4,0.0, 28.0,2017-01-03 11:15:00, 250.0,42.0,1
-5.2,0.0, 26.4,2017-01-03 11:30:00, 251.0,48.0,1
-5.4,0.0, 33.8,2017-01-03 11:45:00, 244.0,40.0,1
-5.3,0.0, 32.2,2017-01-03 12:00:00, 246.0,43.0,1
-5.1,0.0, 31.6,2017-01-03 12:15:00, 244.0,40.0,1
-5.0,0.0, 30.6,2017-01-03 12:30:00, 236.0,41.0,1
-5.0,0.0, 33.9,2017-01-03 12:45:00, 235.0,37.0,1
-5.0,0.0, 28.8,2017-01-03 13:00:00, 244.0,41.0,1
-5.0,0.0, 31.4,2017-01-03 13:15:00, 238.0,38.0,1
-4.9,0.0, 30.4,2017-01-03 13:30:00, 236.0,41.0,1
-4.9,0.0, 31.6,2017-01-03 13:45:00, 232.0,40.0,1
-4.9,0.0, 29.2,2017-01-03 14:00:00, 230.0,39.0,1
-4.8,0.0, 23.6,2017-01-03 14:15:00, 244.0,45.0,1
-4.8,0.0, 23.8,2017-01-03 14:30:00, 244.0,43.0,1
-4.9,0.0, 26.7,2017-01-03 14:45:00, 239.0,44.0,1
-5.0,0.0, 31.6,2017-01-03 15:00:00, 242.0,42.0,1
-5.6,0.0, 29.0,2017-01-03 15:15:00, 241.0,44.0,1
-6.1,0.0, 24.2,2017-01-03 15:30:00, 251.0,45.0,1
-6.3,0.0, 29.0,2017-01-03 15:45:00, 245.0,47.0,1
-6.6,0.0, 26.8,2017-01-03 16:00:00, 246.0,46.0,1
-6.6,0.0, 31.4,2017-01-03 16:15:00, 237.0,44.0,1
-6.9,0.0, 25.8,2017-01-03 16:30:00, 242.0,48.0,1
-7.0,0.0, 24.7,2017-01-03 16:45:00, 245.0,49.0,1
-7.1,0.0, 23.5,2017-01-03 17:00:00, 250.0,54.0,1
-7.0,0.0, 30.8,2017-01-03 17:15:00, 234.0,48.0,1
-6.9,0.0, 31.9,2017-01-03 17:30:00, 240.0,48.0,1
-6.9,0.0, 32.2,2017-01-03 17:45:00, 247.0,44.0,1
-6.9,0.0, 32.5,2017-01-03 18:00:00, 244.0,48.0,1
-7.1,0.0, 28.9,2017-01-03 18:15:00, 235.0,51.0,1
-7.0,0.0, 30.6,2017-01-03 18:30:00, 241.0,48.0,1
-7.0,0.0, 31.5,2017-01-03 18:45:00, 240.0,45.0,1
-7.0,0.0, 29.0,2017-01-03 19:00:00, 244.0,49.0,1
-7.0,0.0, 31.9,2017-01-03 19:15:00, 244.0,42.0,1
-6.7,0.0, 42.1,2017-01-03 19:30:00, 241.0,40.0,1
-6.9,0.0, 31.7,2017-01-03 19:45:00, 244.0,46.0,1
-7.0,0.0, 32.0,2017-01-03 20:00:00, 242.0,42.0,1
-7.0,0.0, 31.5,2017-01-03 20:15:00, 243.0,42.0,1
-7.3,0.0, 26.5,2017-01-03 20:30:00, 242.0,47.0,1
-7.2,0.0, 29.2,2017-01-03 20:45:00, 241.0,45.0,1
-7.4,0.0, 24.9,2017-01-03 21:00:00, 240.0,48.0,1
-7.3,0.0, 28.3,2017-01-03 21:15:00, 234.0,48.0,1
-7.4,0.0, 28.5,2017-01-03 21:30:00, 238.0,46.0,1
-7.4,0.0, 28.0,2017-01-03 21:45:00, 242.0,46.0,1
-7.3,0.0, 28.2,2017-01-03 22:00:00, 241.0,47.0,1
-7.1,0.0, 29.4,2017-01-03 22:15:00, 239.0,47.0,1
-7.3,0.0, 22.6,2017-01-03 22:30:00, 250.0,50.0,1
-7.2,0.0, 25.0,2017-01-03 22:45:00, 251.0,50.0,1
-7.1,0.0, 30.5,2017-01-03 23:00:00, 244.0,48.0,1
-6.8,0.0, 34.1,2017-01-03 23:15:00, 248.0,48.0,1
-6.7,0.0, 40.0,2017-01-03 23:30:00, 241.0,46.0,1
-6.3,0.0, 46.7,2017-01-03 23:45:00, 244.0,43.0,1
-6.2,0.0, 47.0,2017-01-04 00:00:00, 242.0,43.0,1
-5.9,0.0, 51.2,2017-01-04 00:15:00, 243.0,45.0,1
-5.8,0.0, 47.3,2017-01-04 00:30:00, 247.0,46.0,1
-5.6,0.0, 44.4,2017-01-04 00:45:00, 242.0,49.0,1
-5.7,0.0, 39.6,2017-01-04 01:00:00, 246.0,52.0,1
-5.7,0.0, 37.4,2017-01-04 01:15:00, 245.0,53.0,1
-5.5,0.0, 39.0,2017-01-04 01:30:00, 243.0,53.0,1
-5.4,0.0, 40.9,2017-01-04 01:45:00, 245.0,51.0,1
-5.2,0.0, 49.6,2017-01-04 02:00:00, 243.0,48.0,1
-5.1,0.0, 44.0,2017-01-04 02:15:00, 247.0,47.0,1
-5.1,0.0, 48.0,2017-01-04 02:30:00, 244.0,48.0,1
-5.1,0.0, 46.8,2017-01-04 02:45:00, 241.0,50.0,1
-5.2,0.0, 42.2,2017-01-04 03:00:00, 243.0,50.0,1
-5.2,0.0, 39.3,2017-01-04 03:15:00, 247.0,52.0,1
-5.3,0.0, 37.1,2017-01-04 03:30:00, 247.0,52.0,1
-5.2,0.0, 41.2,2017-01-04 03:45:00, 251.0,53.0,1
-5.2,0.0, 36.7,2017-01-04 04:00:00, 250.0,52.0,1
-5.3,0.0, 32.6,2017-01-04 04:15:00, 254.0,55.0,1
-5.1,0.0, 39.0,2017-01-04 04:30:00, 246.0,53.0,1
-5.4,0.0, 31.9,2017-01-04 04:45:00, 251.0,55.0,1
-5.4,0.0, 35.4,2017-01-04 05:00:00, 248.0,57.0,1
-5.4,0.0, 33.6,2017-01-04 05:15:00, 248.0,58.0,1
-5.5,0.0, 27.4,2017-01-04 05:30:00, 246.0,62.0,1
-5.7,0.0, 26.0,2017-01-04 05:45:00, 238.0,64.0,1
-5.9,0.0, 24.9,2017-01-04 06:00:00, 232.0,65.0,1
-6.2,0.0, 24.9,2017-01-04 06:15:00, 232.0,66.0,1
-6.3,0.0, 25.6,2017-01-04 06:30:00, 228.0,62.0,1
-6.5,0.0, 29.0,2017-01-04 06:45:00, 206.0,63.0,1
-6.8,0.0, 27.1,2017-01-04 07:00:00, 216.0,67.0,1
-7.0,0.0, 27.8,2017-01-04 07:15:00, 219.0,73.0,1
-7.1,0.0, 28.5,2017-01-04 07:30:00, 215.0,73.0,1
-7.2,0.0, 29.6,2017-01-04 07:45:00, 209.0,75.0,1
-7.2,0.0, 31.6,2017-01-04 08:00:00, 208.0,76.0,1
-7.1,0.0, 31.6,2017-01-04 08:15:00, 209.0,78.0,1
-6.9,0.0, 34.2,2017-01-04 08:30:00, 208.0,79.0,1
-6.6,0.0, 34.8,2017-01-04 08:45:00, 209.0,80.0,1
-6.4,0.0, 32.9,2017-01-04 09:00:00, 210.0,79.0,1
-5.7,0.0, 34.1,2017-01-04 09:15:00, 207.0,76.0,1
-5.5,0.0, 30.2,2017-01-04 09:30:00, 208.0,74.0,1
-5.3,0.0, 32.0,2017-01-04 09:45:00, 210.0,74.0,1
-5.0,0.0, 35.6,2017-01-04 10:00:00, 207.0,72.0,1
-4.6,0.0, 32.6,2017-01-04 10:15:00, 212.0,70.0,1
-4.2,0.0, 29.4,2017-01-04 10:30:00, 207.0,68.0,1
-3.8,0.0, 30.8,2017-01-04 10:45:00, 206.0,64.0,1
-3.4,0.0, 30.2,2017-01-04 11:00:00, 209.0,62.0,1
-2.9,0.0, 31.8,2017-01-04 11:15:00, 216.0,61.0,1
-2.7,0.0, 31.9,2017-01-04 11:30:00, 219.0,59.0,1
-2.6,0.0, 35.6,2017-01-04 11:45:00, 210.0,58.0,1
-2.3,0.0, 29.6,2017-01-04 12:00:00, 216.0,59.0,1
-2.2,0.0, 27.4,2017-01-04 12:15:00, 209.0,59.0,1
-2.1,0.0, 30.4,2017-01-04 12:30:00, 207.0,57.0,1
-1.8,0.0, 28.0,2017-01-04 12:45:00, 217.0,56.0,1
-1.5,0.0, 26.1,2017-01-04 13:00:00, 222.0,55.0,1
-1.4,0.0, 26.9,2017-01-04 13:15:00, 219.0,53.0,1
-1.3,0.0, 25.3,2017-01-04 13:30:00, 222.0,53.0,1
-1.2,0.0, 26.5,2017-01-04 13:45:00, 212.0,52.0,1
-1.1,0.0, 22.8,2017-01-04 14:00:00, 215.0,51.0,1
-1.1,0.0, 22.1,2017-01-04 14:15:00, 238.0,52.0,1
-1.0,0.0, 22.2,2017-01-04 14:30:00, 228.0,48.0,1
-1.0,0.0, 22.5,2017-01-04 14:45:00, 224.0,49.0,1
-1.1,0.0, 23.8,2017-01-04 15:00:00, 222.0,48.0,1
-1.7,0.0, 20.7,2017-01-04 15:15:00, 224.0,52.0,1
-2.4,0.0, 20.1,2017-01-04 15:30:00, 222.0,53.0,1
-2.7,0.0, 18.7,2017-01-04 15:45:00, 236.0,56.0,1
-2.8,0.0, 20.7,2017-01-04 16:00:00, 231.0,54.0,1
-2.9,0.0, 22.1,2017-01-04 16:15:00, 238.0,53.0,1
-3.2,0.0, 21.7,2017-01-04 16:30:00, 237.0,55.0,1
-3.1,0.0, 21.2,2017-01-04 16:45:00, 235.0,54.0,1
-3.4,0.0, 18.6,2017-01-04 17:00:00, 235.0,54.0,1
-3.2,0.0, 20.0,2017-01-04 17:15:00, 220.0,54.0,1
-3.4,0.0, 19.6,2017-01-04 17:30:00, 219.0,55.0,1
-3.5,0.0, 21.3,2017-01-04 17:45:00, 217.0,53.0,1
-3.7,0.0, 21.5,2017-01-04 18:00:00, 216.0,57.0,1
-3.5,0.0, 20.6,2017-01-04 18:15:00, 227.0,55.0,1
-3.5,0.0, 19.3,2017-01-04 18:30:00, 232.0,58.0,1
-3.7,0.0, 16.9,2017-01-04 18:45:00, 244.0,60.0,1
-4.4,0.0, 17.3,2017-01-04 19:00:00, 251.0,66.0,1
-4.5,0.0, 17.2,2017-01-04 19:15:00, 252.0,64.0,1
