snw_dpth_wtr_equiv,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, None,2017-05-01 23:00:00,6.2, None, 324.0, None,18
None, None,2017-05-02 00:00:00,4.9, None, 324.0, None,18
None, None,2017-05-02 01:00:00,3.1, None, 324.0, None,18
None, None,2017-05-02 02:00:00,3.2, None, 324.0, None,18
None, None,2017-05-02 03:00:00,2.6, None, 324.0, None,18
None, None,2017-05-02 04:00:00,2.3, None, 324.0, None,18
None, None,2017-05-02 05:00:00,1.4, None, 324.0, None,18
None, None,2017-05-02 06:00:00,0.6, None, 324.0, None,18
None, None,2017-05-02 07:00:00,0.9, None, 324.0, None,18
None, None,2017-05-02 08:00:00,0.4, None, 325.0, None,18
None, None,2017-05-02 09:00:00,0.1, None, 324.0, None,18
None, None,2017-05-02 10:00:00,-1.1, None, 324.0, None,18
None, None,2017-05-02 11:00:00,-1.2, None, 324.0, None,18
None, None,2017-05-02 12:00:00,-1.9, None, 324.0, None,18
None, None,2017-05-02 13:00:00,-1.6, None, 324.0, None,18
None, None,2017-05-02 14:00:00,-1.4, None, 324.0, None,18
None, None,2017-05-02 15:00:00,-0.7, None, 324.0, None,18
None, None,2017-05-02 16:00:00,1.7, None, 323.0, None,18
None, None,2017-05-02 17:00:00,1.9, None, 323.0, None,18
None, None,2017-05-02 18:00:00,3.5, None, 323.0, None,18
None, None,2017-05-02 19:00:00,4.0, None, 323.0, None,18
None, None,2017-05-02 20:00:00,4.0, None, 322.0, None,18
None, None,2017-05-02 21:00:00,4.6, None, 322.0, None,18
None, None,2017-05-02 22:00:00,5.7, None, 322.0, None,18
None, None,2017-05-02 23:00:00,5.6, None, 322.0, None,18
None, None,2017-05-03 00:00:00,6.6, None, 322.0, None,18
None, None,2017-05-03 01:00:00,5.1, None, 322.0, None,18
None, None,2017-05-03 02:00:00,3.9, None, 322.0, None,18
None, None,2017-05-03 03:00:00,1.6, None, 322.0, None,18
None, None,2017-05-03 04:00:00,0.4, None, 322.0, None,18
None, None,2017-05-03 05:00:00,0.1, None, 322.0, None,18
None, None,2017-05-03 06:00:00,0.1, None, 323.0, None,18
None, None,2017-05-03 07:00:00,0.1, None, 323.0, None,18
None, None,2017-05-03 08:00:00,0.2, None, 323.0, None,18
None, None,2017-05-03 09:00:00,0.3, None, 324.0, None,18
None, None,2017-05-03 10:00:00,0.4, None, 323.0, None,18
None, None,2017-05-03 11:00:00,1.3, None, 323.0, None,18
None, None,2017-05-03 12:00:00,1.6, None, 323.0, None,18
None, None,2017-05-03 13:00:00,2.2, None, 323.0, None,18
None, None,2017-05-03 14:00:00,1.9, None, 323.0, None,18
None, None,2017-05-03 15:00:00,2.3, None, 323.0, None,18
None, None,2017-05-03 16:00:00,2.2, None, 323.0, None,18
None, None,2017-05-03 17:00:00,2.6, None, 322.0, None,18
None, None,2017-05-03 18:00:00,4.4, None, 322.0, None,18
None, None,2017-05-03 19:00:00,3.6, None, 321.0, None,18
None, None,2017-05-03 20:00:00,4.0, None, 321.0, None,18
None, None,2017-05-03 21:00:00,4.8, None, 321.0, None,18
None, None,2017-05-03 22:00:00,3.8, None, 321.0, None,18
None, None,2017-05-03 23:00:00,6.0, None, 320.0, None,18
None, None,2017-05-04 00:00:00,6.8, None, 320.0, None,18
None, None,2017-05-04 01:00:00,4.1, None, 319.0, None,18
None, None,2017-05-04 02:00:00,3.1, None, 320.0, None,18
None, None,2017-05-04 03:00:00,2.2, None, 320.0, None,18
None, None,2017-05-04 04:00:00,1.8, None, 320.0, None,18
None, None,2017-05-04 05:00:00,1.6, None, 320.0, None,18
None, None,2017-05-04 06:00:00,1.0, None, 320.0, None,18
None, None,2017-05-04 07:00:00,0.9, None, 319.0, None,18
None, None,2017-05-04 08:00:00,-0.1, None, 319.0, None,18
None, None,2017-05-04 09:00:00,-0.4, None, 320.0, None,18
None, None,2017-05-04 10:00:00,-0.9, None, 319.0, None,18
None, None,2017-05-04 11:00:00,-1.7, None, 319.0, None,18
None, None,2017-05-04 12:00:00,-2.0, None, 319.0, None,18
None, None,2017-05-04 13:00:00,-1.9, None, 319.0, None,18
None, None,2017-05-04 14:00:00,-1.3, None, 319.0, None,18
None, None,2017-05-04 15:00:00,0.3, None, 318.0, None,18
None, None,2017-05-04 16:00:00,1.9, None, 318.0, None,18
None, None,2017-05-04 17:00:00,3.7, None, 318.0, None,18
None, None,2017-05-04 18:00:00,2.6, None, 318.0, None,18
None, None,2017-05-04 19:00:00,4.1, None, 318.0, None,18
None, None,2017-05-04 20:00:00,4.1, None, 318.0, None,18
None, None,2017-05-04 21:00:00,5.3, None, 318.0, None,18
None, None,2017-05-04 22:00:00,5.0, None, 318.0, None,18
None, None,2017-05-04 23:00:00,6.5, None, 317.0, None,18
None, None,2017-05-05 00:00:00,7.1, None, 317.0, None,18
None, None,2017-05-05 01:00:00,5.2, None, 318.0, None,18
None, None,2017-05-05 02:00:00,4.5, None, 317.0, None,18
None, None,2017-05-05 03:00:00,3.2, None, 317.0, None,18
None, None,2017-05-05 04:00:00,2.4, None, 317.0, None,18
None, None,2017-05-05 05:00:00,1.7, None, 318.0, None,18
None, None,2017-05-05 06:00:00,1.5, None, 317.0, None,18
None, None,2017-05-05 07:00:00,1.3, None, 317.0, None,18
None, None,2017-05-05 08:00:00,1.3, None, 317.0, None,18
None, None,2017-05-05 09:00:00,1.1, None, 317.0, None,18
None, None,2017-05-05 10:00:00,1.0, None, 317.0, None,18
None, None,2017-05-05 11:00:00,0.8, None, 317.0, None,18
None, None,2017-05-05 12:00:00,0.8, None, 317.0, None,18
None, None,2017-05-05 13:00:00,0.6, None, 317.0, None,18
None, None,2017-05-05 14:00:00,0.6, None, 316.0, None,18
None, None,2017-05-05 15:00:00,1.4, None, 317.0, None,18
None, None,2017-05-05 16:00:00,3.1, None, 316.0, None,18
None, None,2017-05-05 17:00:00,4.2, None, 316.0, None,18
None, None,2017-05-05 18:00:00,3.7, None, 316.0, None,18
None, None,2017-05-05 19:00:00,2.7, None, 316.0, None,18
None, None,2017-05-05 20:00:00,2.6, None, 316.0, None,18
None, None,2017-05-05 21:00:00,2.9, None, 316.0, None,18
None, None,2017-05-05 22:00:00,3.8, None, 315.0, None,18
None, None,2017-05-05 23:00:00,3.5, None, 315.0, None,18
None, None,2017-05-06 00:00:00,3.1, None, 315.0, None,18
None, None,2017-05-06 01:00:00,3.1, None, 315.0, None,18
None, None,2017-05-06 02:00:00,2.7, None, 315.0, None,18
None, None,2017-05-06 03:00:00,2.1, None, 315.0, None,18
None, None,2017-05-06 04:00:00,1.8, None, 315.0, None,18
None, None,2017-05-06 05:00:00,1.5, None, 315.0, None,18
None, None,2017-05-06 06:00:00,1.6, None, 315.0, None,18
None, None,2017-05-06 07:00:00,1.6, None, 314.0, None,18
None, None,2017-05-06 08:00:00,1.5, None, 315.0, None,18
None, None,2017-05-06 09:00:00,1.4, None, 314.0, None,18
None, None,2017-05-06 10:00:00,1.2, None, 314.0, None,18
None, None,2017-05-06 11:00:00,1.0, None, 314.0, None,18
None, None,2017-05-06 12:00:00,0.9, None, 314.0, None,18
None, None,2017-05-06 13:00:00,1.0, None, 314.0, None,18
None, None,2017-05-06 14:00:00,1.1, None, 314.0, None,18
None, None,2017-05-06 15:00:00,1.5, None, 314.0, None,18
None, None,2017-05-06 16:00:00,1.7, None, 314.0, None,18
None, None,2017-05-06 17:00:00,3.3, None, 313.0, None,18
None, None,2017-05-06 18:00:00,3.2, None, 312.0, None,18
None, None,2017-05-06 19:00:00,4.5, None, 311.0, None,18
None, None,2017-05-06 20:00:00,6.7, None, 311.0, None,18
None, None,2017-05-06 21:00:00,6.4, None, 311.0, None,18
None, None,2017-05-06 22:00:00,5.8, None, 311.0, None,18
None, None,2017-05-06 23:00:00,6.0, None, 310.0, None,18
